url	parent	ps	ns	text
https://www.wellesley.edu/academics/theacademicprogram	a			Skip to main content
https://www.wellesley.edu/academics/theacademicprogram	span			 MyWellesley
https://www.wellesley.edu/academics/theacademicprogram	span			Give
https://www.wellesley.edu/academics/theacademicprogram	span			Toggle navigation
https://www.wellesley.edu/academics/theacademicprogram	span			Search
https://www.wellesley.edu/academics/theacademicprogram	a			About
https://www.wellesley.edu/academics/theacademicprogram	a			Mission & Values
https://www.wellesley.edu/academics/theacademicprogram	a			Robust Financial Aid
https://www.wellesley.edu/academics/theacademicprogram	a			Wellesley Facts
https://www.wellesley.edu/academics/theacademicprogram	a			Accreditation
https://www.wellesley.edu/academics/theacademicprogram	a			Strategic Planning
https://www.wellesley.edu/academics/theacademicprogram	a			President
https://www.wellesley.edu/academics/theacademicprogram	a			The Wellesley Effect
https://www.wellesley.edu/academics/theacademicprogram	a			The Campus
https://www.wellesley.edu/academics/theacademicprogram	a			Sustainability
https://www.wellesley.edu/academics/theacademicprogram	a			Wellesley in The World
https://www.wellesley.edu/academics/theacademicprogram	a			College History
https://www.wellesley.edu/academics/theacademicprogram	a			Wellesley Blogs
https://www.wellesley.edu/academics/theacademicprogram	a			Visit
https://www.wellesley.edu/academics/theacademicprogram	a			Admission & Financial Aid
https://www.wellesley.edu/academics/theacademicprogram	a			Apply
https://www.wellesley.edu/academics/theacademicprogram	a			Visit
https://www.wellesley.edu/academics/theacademicprogram	a			Cost & Financial Aid
https://www.wellesley.edu/academics/theacademicprogram	a			Diversity & Inclusion
https://www.wellesley.edu/academics/theacademicprogram	a			Why Wellesley?
https://www.wellesley.edu/academics/theacademicprogram	a			FAQ
https://www.wellesley.edu/academics/theacademicprogram	a			Contact Us
https://www.wellesley.edu/academics/theacademicprogram	a			Academics
https://www.wellesley.edu/academics/theacademicprogram	a			The Academic Program
https://www.wellesley.edu/academics/theacademicprogram	a			Library & Technology
https://www.wellesley.edu/academics/theacademicprogram	a			Departments, Programs, & Majors
https://www.wellesley.edu/academics/theacademicprogram	a			Course Catalog
https://www.wellesley.edu/academics/theacademicprogram	a			WellesleyX
https://www.wellesley.edu/academics/theacademicprogram	a			Faculty
https://www.wellesley.edu/academics/theacademicprogram	a			Academic Centers
https://www.wellesley.edu/academics/theacademicprogram	a			Academic Institutes
https://www.wellesley.edu/academics/theacademicprogram	a			Academic Advising & Support
https://www.wellesley.edu/academics/theacademicprogram	a			Registrar
https://www.wellesley.edu/academics/theacademicprogram	a			Academic Summer Programs
https://www.wellesley.edu/academics/theacademicprogram	a			Campus Life
https://www.wellesley.edu/academics/theacademicprogram	a			Housing
https://www.wellesley.edu/academics/theacademicprogram	a			Dining
https://www.wellesley.edu/academics/theacademicprogram	a			Our Community
https://www.wellesley.edu/academics/theacademicprogram	a			Health and Wellness
https://www.wellesley.edu/academics/theacademicprogram	a			Getting to Boston
https://www.wellesley.edu/academics/theacademicprogram	a			Student Life
https://www.wellesley.edu/academics/theacademicprogram	a			Career Education
